200817;000448.000;N;5127.8658;E;00528.5633;0.00
200817;000449.000;N;5127.8658;E;00528.5633;0.00
200817;000450.000;N;5127.8658;E;00528.5633;0.00
200817;000451.000;N;5127.8658;E;00528.5633;0.00
200817;000452.000;N;5127.8658;E;00528.5634;0.00
200817;000453.000;N;5127.8658;E;00528.5634;0.00
200817;000454.000;N;5127.8658;E;00528.5634;0.00
200817;000455.000;N;5127.8658;E;00528.5634;0.00
200817;000456.000;N;5127.8659;E;00528.5634;0.00
200817;000457.000;N;5127.8658;E;00528.5634;0.00
200817;000523.000;N;5127.8658;E;00528.5634;0.00
200817;000524.000;N;5127.8658;E;00528.5635;0.00
200817;000525.000;N;5127.8656;E;00528.5644;0.00
200817;000526.000;N;5127.8649;E;00528.5665;0.00
200817;000527.000;N;5127.8650;E;00528.5662;0.00
200817;000528.000;N;5127.8650;E;00528.5662;0.00
200817;000529.000;N;5127.8650;E;00528.5662;0.00
200817;000530.000;N;5127.8651;E;00528.5663;0.00
200817;000531.000;N;5127.8651;E;00528.5663;0.00
200817;000532.000;N;5127.8652;E;00528.5664;0.00
200817;000533.000;N;5127.8652;E;00528.5665;0.00
200817;000534.000;N;5127.8653;E;00528.5665;0.00
200817;000535.000;N;5127.8654;E;00528.5665;0.36
200817;000536.000;N;5127.8657;E;00528.5665;0.50
200817;000537.000;N;5127.8658;E;00528.5664;0.20
200817;000538.000;N;5127.8659;E;00528.5662;0.24
200817;000539.000;N;5127.8660;E;00528.5659;0.38
200817;000540.000;N;5127.8661;E;00528.5658;0.40
200817;000541.000;N;5127.8661;E;00528.5654;0.92
200817;000542.000;N;5127.8665;E;00528.5653;0.11
200817;000543.000;N;5127.8671;E;00528.5646;0.25
200817;000544.000;N;5127.8678;E;00528.5642;0.39
200817;000545.000;N;5127.8685;E;00528.5639;0.34
200817;000546.000;N;5127.8693;E;00528.5642;1.15
200817;000547.000;N;5127.8699;E;00528.5650;1.94
200817;000548.000;N;5127.8703;E;00528.5658;2.24
200817;000549.000;N;5127.8709;E;00528.5665;2.40
200817;000550.000;N;5127.8718;E;00528.5676;3.12
200817;000551.000;N;5127.8724;E;00528.5686;2.76
200817;000552.000;N;5127.8728;E;00528.5670;2.37
200817;000553.000;N;5127.8724;E;00528.5668;2.24
200817;000554.000;N;5127.8720;E;00528.5669;2.16
200817;000555.000;N;5127.8718;E;00528.5665;1.75
200817;000556.000;N;5127.8744;E;00528.5698;1.08
200817;000557.000;N;5127.8750;E;00528.5716;0.19
